image_name,scale,center_w,center_h,fl_1_x,fl_1_y,fl_2_x,fl_2_y,px_to_mm_rate,mm_dist,Patient,Split,Algo,index
Patient00168_Plane5_1_of_2.png,1.47058823529412,320.0,196.0,144,143,504,95,0.1428571428571428,0.0,168.0,Train,AlokaFit,0
Patient00168_Plane5_2_of_2.png,1.47058823529412,320.0,196.0,356,97,536,122,0.1515151515151515,0.0,168.0,Train,AlokaFit,1
Patient00188_Plane5_1_of_1.png,1.47058823529412,320.0,196.0,187,119,427,144,0.078125,0.0,188.0,Train,AlokaFit,2
Patient00305_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,378,295,764,218,0.10556621880998104,5.0,305.0,Train,,3
Patient00640_Plane5_1_of_1.png,3.43520220588235,747.5,393.5,420,287,960,235,0.105421686746988,5.0,640.0,Train,,4
Patient00641_Plane5_1_of_1.png,3.43520220588235,747.5,393.5,480,279,987,308,0.118168389955687,5.0,641.0,Train,,5
Patient00643_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,359,433,982,441,0.101522842639594,5.0,643.0,Train,,6
Patient00651_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,227,341,780,340,0.105421686746988,5.0,651.0,Train,,7
Patient00655_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,310,167,821,239,0.118168389955687,5.0,655.0,Train,,8
Patient00665_Plane5_1_of_1.png,2.61259191176471,568.5,295.5,351,342,882,349,0.11002444987775098,5.0,665.0,Train,,9
Patient00667_Plane5_1_of_2.png,2.61259191176471,568.5,295.5,361,160,809,138,0.14388489208633098,5.0,667.0,Train,,10
Patient00667_Plane5_2_of_2.png,2.61259191176471,568.5,295.5,362,161,806,140,0.14388489208633098,5.0,667.0,Train,,11
Patient00671_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,273,332,738,189,0.13235294117647098,5.0,671.0,Train,,12
Patient00672_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,274,268,842,303,0.111856823266219,5.0,672.0,Train,,13
Patient00673_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,332,202,832,242,0.125698324022346,5.0,673.0,Train,,14
Patient00675_Plane5_1_of_1.png,2.20818014705882,480.5,331.5,265,293,740,330,0.14018691588785,5.0,675.0,Train,,15
Patient00680_Plane5_1_of_1.png,3.43520220588235,747.5,393.5,463,441,901,360,0.14851485148514906,5.0,680.0,Train,,16
Patient00693_Plane5_1_of_1.png,2.20818014705882,480.5,331.5,136,236,686,201,0.120689655172414,5.0,693.0,Train,,17
Patient00697_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,286,265,792,326,0.132743362831858,5.0,697.0,Train,,18
Patient00699_Plane5_1_of_1.png,2.20818014705882,480.5,331.5,204,307,683,282,0.129032258064516,5.0,699.0,Train,,19
Patient00707_Plane5_1_of_1.png,2.2132827324478184,480.5,331.5,211,352,845,323,0.104166666666667,5.0,707.0,Train,,20
Patient00709_Plane5_1_of_1.png,2.61259191176471,568.5,393.5,359,505,884,411,0.117773019271949,5.0,709.0,Train,,21
Patient00716_Plane5_1_of_1.png,2.20358455882353,479.5,330.5,152,393,637,178,0.0961538461538462,5.0,716.0,Train,,22
Patient00719_Plane5_1_of_1.png,1.47058823529412,320.0,196.0,154,190,474,138,0.1,0.0,719.0,Train,AlokaFit,23
Patient00720_Plane5_1_of_2.png,1.47058823529412,320.0,196.0,199,225,488,100,0.1,0.0,720.0,Train,AlokaFit,24
Patient00721_Plane5_1_of_1.png,1.47058823529412,320.0,196.0,227,131,503,163,0.1063829787234043,0.0,721.0,Train,AlokaFit,25
Patient00738_Plane5_1_of_1.png,1.4998102466793168,320.0,196.0,167,136,567,173,0.125,0.0,738.0,Train,AlokaFit,26
Patient00739_Plane5_1_of_1.png,1.47058823529412,320.0,196.0,155,203,466,121,0.08196721311475409,0.0,739.0,Train,AlokaFit,27
Patient00740_Plane5_1_of_1.png,1.6941176470588235,320.0,196.0,164,116,599,190,0.1388888888888889,0.0,740.0,Train,AlokaFit,28
Patient00741_Plane5_1_of_1.png,1.47058823529412,320.0,196.0,190,192,463,93,0.08196721311475409,0.0,741.0,Train,AlokaFit,29
